Name,Price,24H Change,24H Volume
Bitcoin,"$16,868.32",+0.24%,$12.8 B
Ethereum,"$1,198.25",+0.80%,$323.37 B
Tether,$1.02,+0.44%,$3.94 B
USD Coin,$1.00,-0.55%,$146.28 B
BNB,$252.40,+1.30%,$16.57 B
Binance USD,$1.00,+0.13%,$66.73 B
XRP,$0.3468,-2.16%,$1.89 B
Dogecoin,$0.07853,-0.64%,$44.82 B
Cardano,$0.2678,+0.02%,$737.26 M
Polygon,$0.8058,-1.76%,$40.16 B
Dai,$1.02,+0.02%,$3.25 B
Wrapped TRON,$0.0539,-0.62%,$18.52 B
Polkadot,$4.71,-0.00%,$719.02 M
TRON,$0.05447,+0.75%,$17.37 B
Shiba Inu,$0.000008913,+2.70%,$307.55 M
Litecoin,$64.52,-0.61%,$10.36 B
Solana,$12.85,-0.60%,$150.2 M
HEX,$0.02535,-0.64%,$9.18 B
Uniswap,$5.42,-0.41%,$247.42 M
Lido stETH,"$1,159.99",-1.00%,$7 B
Avalanche,$12.16,+1.08%,$101.19 M
UNUS SED LEO,$3.78,-4.67%,$5.86 B
Toncoin,$2.61,-5.13%,"$877,579"
Wrapped Bitcoin,"$16,937.73",-0.29%,$5.48 B
Chainlink,$6.12,+1.21%,$122.48 M
Monero,$146.53,+1.80%,$5.37 B
Cosmos,$9.07,+0.65%,$159.19 M
Ethereum Classic,$16.16,-0.32%,$5.01 B
Stellar,$0.07816,+1.39%,$127.1 M
Bitcoin Cash,$103.51,-0.33%,$4.82 B
Cronos,$0.0577,+1.41%,$362.88 M
Quant,$113.03,+2.42%,$4.6 B
Algorand,$0.1871,-3.62%,$148.36 M
OKB,$21.83,-2.82%,$4.54 B
ApeCoin,$3.61,+2.46%,$2.61 M
VeChain,$0.01758,-0.26%,$4.4 B
NEAR Protocol,$1.38,-0.83%,$41.56 M
Hedera,$0.04585,-0.77%,$4.09 B
Filecoin,$3.10,-2.10%,$12.93 M
Internet Computer,$3.79,+2.56%,$4.05 B
Frax,$0.9955,-0.20%,$120.15 M
EOS,$0.9028,+0.89%,$3.75 B
Pax Dollar,$1.01,+0.54%,$2.84 M
Elrond,$39.85,+0.89%,$3.61 B
Wrapped BNB,$249.93,+1.28%,$49.82 M
Bitcoin BEP2,"$16,765.38",+0.39%,$3.18 B
Bitcoin SV,$45.32,+0.09%,$64.72 M
Luna Classic,$0.0001542,-1.46%,$3.1 B
Huobi Token,$5.45,-1.69%,$155.42 M
Flow,$0.7837,+0.97%,$3.09 B
